Parameter,Object,Writable,Value,Type
InternetGatewayDevice.DeviceInfo,true,true,,
InternetGatewayDevice.DeviceInfo.AdditionalSoftwareVersion,false,true,1.0.0,xsd:string
InternetGatewayDevice.DeviceInfo.Description,false,true,Huawei WiFI Router,xsd:string
